,Ticker,Score,PE_Ratio,PB_Ratio,ROE,Dividend_Yield,Upside_Potential,Current_Price,Target_Price
94,CE,10,5.2563667,1.3956213,0.15095,0.0227,57.644272179155884,92.88,146.42
180,EG,10,5.4747233,0.98386836,0.20858,0.023,24.648379052369073,350.875,437.36
69,BWA,9,8.356436,1.1993747,0.15923999,0.013200001,21.356635071090047,33.76,40.97
41,APTV,9,6.0935416,1.447734,0.24212,,43.89619883040936,54.72,78.74
38,APA,8,2.53842,1.5994954,0.7938,0.0425,47.51652099765511,23.455,34.6
77,BG,8,10.633714,1.1558545,0.10922,0.0324,30.54827175208581,83.9,109.53
223,HAL,8,9.411961,2.5015452,0.28903,0.0242,46.17013766325451,28.33,41.41
136,CVS,8,9.817171,0.9248131,0.097279996,0.048699997,22.144184149712267,55.1725,67.39
131,CTRA,8,14.042424,1.3083743,0.095979996,0.0364,31.89469141130772,23.17,30.56
411,SLB,8,12.945337,2.6429462,0.21722999,0.0273,43.61649279682067,40.26,57.82
150,DG,8,12.650078,2.463803,0.20882,0.028800001,23.002212933366106,81.34,100.05
147,FANG,8,9.0300255,1.3645046,0.122650005,0.059899997,24.40666949061705,174.4601,217.04
145,DVN,8,7.0777755,1.9583758,0.29691,0.0511,33.00936890810193,39.1401,52.06
243,HII,8,10.687634,1.7621353,0.17666,0.028299998,27.067065374739798,189.278,240.51
43,ADM,8,10.049821,1.0888119,0.1075,0.036199998,22.299063827425524,50.4501,61.7
120,COP,8,12.935943,2.5161514,0.20376,0.0287,21.852361302154975,109.05,132.88
96,CNC,7,11.166667,1.2077146,0.11559,,28.5902095738922,64.655,83.14
431,SYF,7,7.3155847,1.4856526,0.21279,0.0182,6.586188531865789,56.33,60.04
430,SMCI,7,13.378109,2.885193,0.32469,,147.63852733358127,26.89,66.59
42,ACGL,7,6.4449663,1.6778488,0.30441,,26.762470061439124,96.03,121.73
316,MGM,7,12.924803,3.31253,0.2901,,40.23771360114474,36.0602,50.57
457,USB,6,14.607692,1.4237516,0.09779,0.0424,11.300684570826757,47.475,52.84
475,VICI,6,11.70937,1.2679086,0.111899994,0.0546,12.82511948328815,31.6153,35.67
317,MCHP,6,29.653387,6.233669,0.20696,0.024400001,23.12239688297728,74.43,91.64
0,MMM,6,13.2518215,14.940168,1.1329399,0.0222,13.702394974479803,127.35,144.8
489,WFC,6,13.245322,1.2944452,0.099139996,0.0251,5.069847747606326,63.71,66.94
28,AIG,6,14.249523,1.0938574,0.08733,0.021,13.460767277101993,74.81,84.88
255,IPG,6,13.985849,2.9644072,0.21792999,0.044699997,6.812816188870152,29.65,31.67
435,TROW,6,12.447973,2.4632623,0.20495,0.044099998,-0.9766827980642323,113.65,112.54
199,FMC,6,5.183749,1.711953,0.38454,0.0366,14.575272314088172,63.1899,72.4
391,QCOM,6,21.102753,7.455555,0.38924,0.020599999,26.252559726962453,164.8125,208.08
