Ticker,PE_Ratio,PB_Ratio,ROE,Debt_to_Equity,EPS,Market_Cap,Dividend_Yield,Beta,Current_Price,Target_Price,Profit_Margin,Operating_Margin,Quick_Ratio,Revenue_Growth,Upside_Potential,Score
EG,5.4782343,0.9844993,0.20858,22.087,64.09,15097299968.0,0.023,0.614,351.1,437.36,0.16854,0.16320999,0.32,0.128,24.568499003133006,14
ACGL,6.4442954,1.677674,0.30441,12.243,14.9,36122722304.0,,0.594,96.02,121.73,0.33859003,0.24947001,0.321,0.418,26.775671735055194,12
SLB,12.95672,2.64527,0.21722999,57.141,3.11,56903147520.0,0.0273,1.525,40.2954,57.82,0.12441,0.17959999,1.003,0.102,43.49032395757333,12
GOOG,22.725466,6.689962,0.32101002,9.324,7.54,2087728578560.0,0.0047,1.038,171.35,209.27,0.27738002,0.32312,1.761,0.151,22.130142982200198,11
QCOM,21.09091,7.4513702,0.38924,58.995,7.81,183498080256.0,0.020599999,1.282,164.72,208.08,0.23326,0.24444,1.639,0.111,26.323457989315212,11
GOOGL,22.53785,6.625932,0.32101002,9.324,7.53,2085464571904.0,0.0047,1.038,169.71,206.21,0.27738002,0.32312,1.761,0.151,21.50727711979259,11
KLAC,30.729328,25.287207,0.90577006,191.76,21.89,89975668736.0,0.0087,1.271,672.665,812.57,0.28921,0.39413,1.387,0.185,20.798614466339128,11
LRCX,24.54369,11.566264,0.49116,58.827,3.09,97582571520.0,0.0124,1.481,75.84,94.29,0.2602,0.30331,1.685,0.197,24.32753164556962,11
SYF,7.335065,1.4896085,0.21279,,7.7,21990148096.0,0.0182,1.61,56.48,60.04,0.35139,0.46368998,,0.116,6.303116147308785,11
MPWR,85.78121,15.817863,0.20214,,8.89,37198618624.0,0.0064999997,1.117,762.595,952.67,0.21292,0.27079,4.834,0.306,24.924763472091982,11
MSFT,34.027298,10.632155,0.35604,33.657,12.09,3058635374592.0,0.0081,0.896,411.39,496.94,0.35608003,0.46583998,1.163,0.16,20.795352342059847,11
REGN,20.396786,3.032826,0.17166,9.221,40.45,90664747008.0,,0.115,825.05,1104.79,0.33613998,0.33211,4.344,0.106,33.90582388946124,11
SMCI,13.392637,2.8883264,0.32469,39.749,2.01,15762941952.0,,1.231,26.9192,66.59,0.08085,0.06469,1.805,1.43,147.36990698089096,11
DFS,12.305153,2.222497,0.20263,105.313,12.42,38371336192.0,0.0188,1.41,152.83,155.09,0.27306,0.34264,1.174,0.605,1.4787672577373456,11
FOX,9.95599,1.6755823,0.17711,62.178,4.09,19280961536.0,0.0135,0.771,40.72,,0.13399,0.2674,2.243,0.111,,11
SNPS,54.130413,10.462172,0.21819,8.7,9.7,80657334272.0,,1.075,525.065,641.47,0.23111999,0.23608999,1.378,0.127,22.169636140287395,11
BWA,8.381262,1.202938,0.15923999,74.606,4.04,7405246976.0,0.013200001,1.185,33.8603,40.97,0.06331,0.08437,1.407,-0.048,20.997155961406122,11
APA,2.5405846,1.6008593,0.7938,105.404,9.24,8683520000.0,0.0425,3.232,23.475,34.6,0.32611,0.40894002,0.726,0.463,47.390841320553776,11
COP,12.945729,2.518055,0.20376,36.695,8.43,125601677312.0,0.0287,1.223,109.1325,132.88,0.17472,0.24277,1.078,-0.079,21.76024557304195,11
CTRA,14.051515,1.3092213,0.095979996,18.111,1.65,17078371328.0,0.0364,0.198,23.185,30.56,0.22549999,0.26087,1.494,-0.05,31.809359499676514,11
FANG,9.04322,1.3664982,0.122650005,33.29,19.32,51146592256.0,0.059899997,,174.715,217.04,0.35312,0.4155,0.403,0.194,24.225166700054366,11
EOG,9.435085,2.3838718,0.27056998,14.016,12.94,69420367872.0,0.0296,1.285,122.09,140.83,0.31101,0.35377,1.748,0.104,15.349332459660904,11
FOXA,10.693153,1.7996461,0.17711,62.178,4.09,19249348608.0,0.0126,0.771,43.735,42.72,0.13399,0.2674,2.243,0.111,-2.320795701383338,11
APTV,6.1336308,1.4572586,0.24212,109.665,8.98,12945783808.0,,1.792,55.08,78.74,0.122889996,0.11022,1.031,-0.051,42.95570079883806,11
FSLR,18.253231,2.9877343,0.17964001,9.141,11.61,22687731712.0,,1.442,211.92,279.86,0.32412997,0.36275002,1.208,0.108,32.05926764816913,11
LLY,86.80205,50.84708,0.65318,218.081,9.27,763871887360.0,0.0064999997,0.416,804.655,1008.48,0.20482999,0.39773998,0.63,0.204,25.330731804313665,10
STT,14.518808,1.1842088,0.0855,,6.38,27154577408.0,0.033,1.495,92.63,99.07,0.16847,0.30343,,0.201,6.952391233941491,10
ADBE,41.194233,14.859415,0.35355,41.788,11.79,213796339712.0,,1.289,485.68,623.55,0.25588,0.36834,0.966,0.106,28.387003788502696,10
CINF,7.1816554,1.5824248,0.25135002,6.331,19.46,21845805056.0,0.0234,0.67,139.755,147.0,0.25257,0.31717,0.996,0.833,5.1840721262208955,10
UBER,36.460003,10.537272,0.34326,80.343,2.03,155851603968.0,,1.331,74.0138,89.9,0.10492,0.09483,1.223,0.204,21.463835122639296,10
HAL,9.415282,2.5024283,0.28903,86.88,3.01,25019373568.0,0.0242,1.9,28.34,41.41,0.11613,0.17692,1.339,0.006,46.11856033874382,10
RF,13.31921,1.2662477,0.10042,,1.77,21476825088.0,0.0428,1.186,23.575,25.74,0.26693,0.46976003,,0.156,9.183457051961819,10
CE,5.2246747,1.3872068,0.15095,171.754,17.67,10087251968.0,0.0227,,92.32,146.42,0.10402001,0.09215,0.69,-0.028,58.6005199306759,10
ERIE,37.832867,10.876708,0.31418,0.406,10.71,21187344384.0,0.0127,0.428,405.19,,0.1516,0.18504,1.231,0.164,,10
MCO,41.975365,21.350998,0.54016,197.861,10.96,83375325184.0,0.0074,1.287,460.05,498.12,0.29046,0.42029998,1.538,0.232,8.27518747962177,9
TER,33.490444,5.9042163,0.19206,2.738,3.14,17126462464.0,0.0046,1.49,105.16,132.95,0.18745,0.21449,1.742,0.048,26.4263978699125,9
APH,39.54,8.823642,0.25293,57.565,1.75,83422183424.0,0.0097,1.243,69.195,76.68,0.15403,0.21865,1.208,0.262,10.817255582050755,9
